iter	RMSE
352	0.3401743796
353	0.3395959181
354	0.3395342318
355	0.3392856214
356	0.3392185271
357	0.3391807567
358	0.3390005645
359	0.3389435822
360	0.3387906642
361	0.3387059282
362	0.3385885747
363	0.3384992998
364	0.3382750579
365	0.33800529
366	0.3378222398
367	0.3377314438
368	0.3375969426
369	0.3375527921
370	0.3373316853
371	0.3371994888
372	0.3370824628
373	0.3369876722
374	0.3367469152
375	0.3364701869
376	0.3363245735
377	0.3362730848
378	0.3361430738
379	0.3361107203
380	0.336033124
381	0.3359808593
382	0.3357092225
383	0.3355580296
384	0.3353795701
385	0.335286633
386	0.3351343961
387	0.3350620767
388	0.3349286217
389	0.3348805889
390	0.3347311273
391	0.3344955405
392	0.3341949089
393	0.3341166512
394	0.3339182115
395	0.3336503184
396	0.3335502785
397	0.3333222045
398	0.3331246595
399	0.3330777743
400	0.3329651011
401	0.3329329865
402	0.3328265376
403	0.3325696777
404	0.3322185033
405	0.3321834653
406	0.3320195063
407	0.3318843071
408	0.3317832265
409	0.3316387551
410	0.3314948145
411	0.331447254
412	0.3310322788
413	0.3309212495
414	0.330817275
415	0.3306797357
416	0.3305780976
417	0.3304532761
418	0.3303615102
419	0.3301625783
420	0.3298866081
421	0.3297607578
422	0.3296915453
423	0.3295688733
424	0.3295294885
425	0.329332635
426	0.3291177599
427	0.3289444872
428	0.3288939889
429	0.3288243161
430	0.3287513619
431	0.3285950717
432	0.328396265
433	0.3282704358
434	0.3280605389
435	0.3278976794
436	0.3278166573
437	0.3276168869
438	0.3275292812
439	0.3272738806
440	0.3271439445
441	0.3269256446
442	0.3267503178
443	0.3265421935
444	0.3264814824
445	0.3261864974
446	0.3259626994
447	0.3258167635
448	0.32578844
449	0.3257314927
450	0.3256054822
451	0.3255040507
452	0.3253594842
453	0.3252387423
454	0.3247288002
455	0.3246978677
456	0.3246404527
457	0.3245568445
458	0.3243559417
459	0.3242356883
460	0.3241889358
461	0.3241405164
462	0.3241264125
463	0.3238831926
464	0.32374308
465	0.3236354423
466	0.3235958073
467	0.3233440627
468	0.323197577
469	0.3230426456
470	0.3226444216
471	0.3225179882
472	0.3223467954
473	0.3221741888
474	0.3218381359
475	0.3218071992
476	0.32169671
477	0.3214505749
478	0.3213792251
479	0.3212279879
480	0.3208899683
481	0.3208718993
482	0.3207626486
483	0.3207156256
484	0.3205474221
485	0.3202571477
486	0.3199059518
487	0.3195771588
488	0.3192280292
489	0.3191907358
490	0.3190720689
491	0.3188973611
492	0.3188511843
493	0.3187988113
494	0.3187483403
495	0.3184884838
496	0.3183443478
497	0.3183219325
498	0.3182635602
499	0.3179219497
500	0.3177515125
501	0.3175980211
502	0.3175749631
503	0.3174985755
504	0.317336393
505	0.3171805915
506	0.3168718029
507	0.3168652298
508	0.3165672579
509	0.3162840656
510	0.3161563436
511	0.3159388134
512	0.3157031885
513	0.3154486453
514	0.3153886982
515	0.3151719826
516	0.3149853419
517	0.3147069952
518	0.3145660574
519	0.3144038049
520	0.3143859038
521	0.3143390905
522	0.3141993334
523	0.3141090114
524	0.313836436
525	0.3137965281
526	0.3137146209
527	0.3136422793
528	0.3135754617
529	0.313475004
530	0.3132033744
531	0.3129475059
532	0.3127633881
533	0.3126462022
534	0.3126367517
535	0.3124411069
536	0.31240189
537	0.3123131845
538	0.3121578049
539	0.3119813053
540	0.3119397146
541	0.3118838944
542	0.3117334391
543	0.3114666251
544	0.3112359328
545	0.311041564
546	0.3108488933
547	0.3107799457
548	0.3106800059
549	0.3106747312
550	0.3106196992
551	0.310418783
552	0.3103888357
553	0.3103556799
554	0.3100915912
555	0.3100522815
556	0.3099046936
557	0.309872865
558	0.3097868428
559	0.3096990357
560	0.3096881668
561	0.3095285722
562	0.3094494619
563	0.3093643774
564	0.3091477773
565	0.3089781106
566	0.3089037149
567	0.3088304591
568	0.308754978
569	0.3087313324
570	0.3085741153
571	0.3083961144
572	0.3083412512
573	0.3081659657
574	0.3081101145
575	0.3078893157
576	0.307776572
577	0.3074614711
578	0.3073666586
579	0.3072467198
580	0.307236657
581	0.3071744157
582	0.3070631339
583	0.3070525193
584	0.3070406159
585	0.3068788245
586	0.3068102748
587	0.3067820684
588	0.306695789
589	0.3065240535
590	0.3064749629
591	0.3063128986
592	0.3062685171
593	0.306041921
594	0.3058919695
595	0.3057768952
596	0.3056594959
597	0.3055701536
598	0.3053526677
599	0.3053128973
600	0.3052631039
601	0.3051020234
602	0.304849524
603	0.3046901877
604	0.3046364906
605	0.3045657682
